temoignages_bootcamp_complet;;;;;
Name;Title;Startup;Bootcamp number;Testimony;Type de bootcamp
Anthony Retailleau;CEO;Feelback;3;More than just a batch of new knowledge, 34 Elements has offered us a new way to analyze our daily actions, our solution, our strategy... It is now a new beginning full of ambition for the Feelback team.;The Compass
Sarah Gaillard;Co-founder;Luminous;3;Personally, 34 elements is a very useful experience that allowed me to gain confidence in myself, in my entrepreneurial instinct that had been detected a long time ago, but it is only today that I see it. My motivation and ambition have suddenly increased tenfold. For our team, it also allowed us to concretely sit down to reflect on key and founding subjects thanks to the framework and methodology provided by Pierre. It is also reassuring to do it with an experienced mentor who guides you on the path. We come out changed, with directions to take, confident that they are the right ones and new professional reflexes. Then, we have to go for it!;The Compass
Olivier Bellucci;Co-fondateur;MonitorHR;3;34 Elements was a real turning point for MonitoHR. We realized the importance of constantly challenging our strategy and the positive impact this approach had on our performance. During these seven weeks, we grew as founders, but above all, as a company. We feel better equipped to achieve our ambition.;The Compass
Matthieu Coussi;CEO,;Luminous;3;"Our 34 EL sessions were a real catalyst for Luminous: we came away with more focus and more ambition. It generated great discussions between co-founders and partners; it allowed us to refine our Go to market and our Business Model. While the first one was relatively expected, the focus on the BM was a surprise. Pierre is also very structuring in the approach and allows us to effectively frame the discussions. As a result, 34 EL was beneficial for Luminous, with more strategic and tactical vision and better control of priorities. It was recommended to me (thank you) and I am doing the same.";The Compass
Charles Pellé;CEO;Revelhome;3;"I learned! A lot in a short time. Mainly that the product is simply a consequence of structured strategic thinking. What I like about 34 EL? The American mindset, with common sense. The method is formidable; everyone draws on Pierre's experience and that of their cohort mates.";The Compass
Bruno Smadja;CEO;Mobilevent;3;"34 elements is primarily designed for start-ups, and many of them participate, some of which will soon be part of our daily lives. But 34 elements is also good for entrepreneurs who need to question the fundamentals, even for a 17-year-old company like mine. It did me a world of good, both through the method and through the discussions with Pierre and the other entrepreneurs. I recommend it to everyone; you will always get something positive out of it in your business management. Thank you, Pierre!";The Compass
Mélanie Pin;CEO;Your Charlie;3;I learned how to organize my entrepreneurial intuitions thanks to 34 Elements. It's so valuable. Thank you, Pierre!;The Compass
Anas Erridaoui;CEO;Fungu'it;3;We are more aware of the challenges to overcome and the assumptions to de-risk. Thanks to Pierre, we are applying these elements to our startup, which have led to profound changes from the first week.;The Compass
Quentin Roquigny;COO;Kannelle;4;Pierre is a valuable help in gaining perspective and (re)asking the right questions! I highly recommend the 34Elements experience to continue improving, strengthening your team cohesion and clarifying your startup's messages!;The Compass
Marc Guesneau;CEO;Alber;4;Thanks to this unique and unorthodox method implemented by Pierre, we completely redesigned our model in just a few weeks. We could have reached the same conclusions in several months, but thanks to Pierre, it only took us 8 weeks! Many challenges and questioning are necessary to move in the right direction, even if it means leaving our comfort zone. 34 Elements is a must at any stage of progress, I recommend it to all entrepreneurs! Thanks again Pierre and congratulations on everything you do!;The Compass
Ryad Saadaoui;CEO;MIAP;4;As life does things well, 34 elements have fallen into place in our development! After a first year of marketing, the program allowed us to take a step back from our activities, identify the weaknesses of our structure, clarify our vision and our strategy, optimize the management of our priorities, strengthen ties between the funding team, ... A thousand thanks Pierre! Go accelerate our growth.;The Compass
Ghislain Trabichet;CEO;Odopass;4;The ONLY training course created by an entrepreneur for entrepreneurs! No bullshit, 34 Elements gives you the keys to execute well, question yourself and progress while staying focused on what is really important when building your startup! This should be a must-have! And the icing on the cake, Pierre will give you valuable feedback thanks to his many experiences as an entrepreneur and VC. You will see, you will be a better founder after these 8 intensive weeks;The Compass
Vanessa Bianconi;CEO,;Miloé;4;Pierre, through his unique method, helps us ask the right questions but above all to structure ourselves thanks to a methodology that places us at the heart of our reflections. Beyond providing us with the best expertise possible, Pierre helps us to bring out our qualities and to have confidence in our choices. The 34Éléments Académie is a unique program, imagined and delivered by entrepreneurs who have gone through all the stages they approach, which makes it a most legitimate and qualitative program that I recommend to any entrepreneur, at any stage of their project;The Compass
Grégory Besson;CEO;ABE;4;In just a few weeks, we've been able to progress faster than we've ever made in the past 18 months. Pierre puts his finger on the sore spots and then makes us think so we can find ways to correct our trajectory on our own. He questions your strategy and vision and invites you, via the 34e éléments platform, to find the answer.;The Compass
Liselotte Cousin;CEO;Astuvet;4;The 34 Elements Academy was a revolution in my life as an entrepreneur!! Pierre changed our vision of startups. Thanks to this academy, we changed our business model to reach a market 50 times larger than our initial market. Thank you, Pierre!;The Compass
Franck Botta;CEO;Wizama;4;It's 8 weeks to deconstruct my preconceived ideas and fears, thanks to tailor-made coaching! I'm already feeling the effects through my mindset, revisiting my vision, giving it more light, and changing Wizama's strategy to ensure its success. Thank you for this gift. It's a real investment.;The Compass
Andréa Mocellin;CEO;Revolve Mobility;5;As an entrepreneur of an early-stage startup, I found working with Pierre truly eye-opening in his exploration of all the alternatives and potential of the project. I highly recommend him to entrepreneurs who want to challenge their business vision with an international mindset.;The Compass
Jonathan Amsellem;CSO;Onecode.ca;5;Pierre has a strategic mind and loves entrepreneurs. 34 Elements' support is tremendous and keeps us on the right track. I can't be grateful enough. I met some exceptional entrepreneurs during the session and learned a lot from their experiences. Every entrepreneur should take the 34 Elements program.;The Compass
Thomas Pandraud;CEO;Air Tech;5;Pierre's approach, very American in its mentality, allows us to approach our entrepreneurial project differently, to ask ourselves deep questions and to carry out a real introspection on our startup. In particular, the work done on our purpose was the real starting point for all the themes covered in the academy and allowed us to then realign the strategy, the team, the value proposition, the gotomarket, etc. I appreciated the 1/1 with Pierre, who with his experience and his method, makes us ask ourselves the right questions and go further in our reflection. I recommend 34 Elements Academy, thank you Pierre;The Compass
Cassiano Gobet;CEO;Troovr;5;It's a transformative experience. Pierre asks questions most founders don't think about. Every problem you discover in your projects has its origins elsewhere. It's an uncomfortable but essential process. Virtually nothing in your current plans will end the process in the same place.;The Compass
Aurelien Coget;CEO;R2Devops;6;"How lucky to have been introduced to Pierre. One of the best choices I made for my project. Pierre makes us feel how essential strategy is to our project. He doesn't give you the solution; he makes you touch and feel it! The pace is intense and captivating. You thought you had a good idea, the 34 Elements program will allow you to convince others.";The Compass
Raphaël Salimi;CEO;Insidy;6;Despite a first round of discussions with prestigious BAs, I had a biased view of my problems and my company in general. Pierre brings you out of the cave and shows you where to look. It's transformative, challenging, and humanly enriching! No matter your internship and what you think you know, go for it!;The Compass
Alexandre Touzet;CEO;Better Ask Alex;6;More than a training course or an accelerator, 34elements is a simple yet effective framework. Despite 10 years of entrepreneurship, I am grateful to Pierre for allowing me to benefit from it. Thanks to him, I see things more clearly, everything is simpler, and I can move forward again.;The Compass
Pierre Noguès;CEO;Wolfschool;6;"You can join 34 elements with your eyes closed! In my opinion, you're even taking a lot more risks if you don't take this training!! ;) Unconscious incompetence is the worst thing for a startup and a founding team. With Pierre Gaubil and 34 elements, you'll discover a structure, challenges, and keys to improving your business positioning: saving time & avoiding pitfalls, here we come! For our part, the change of direction is undeniable and we highly recommend it!";The Compass
Jean-David Rombi;CEO,;Akius;6;Think you know everything there is to know about innovation, iteration, or entrepreneurship in general? Then wait until you join 34Elements, expertly led by El Professor. The program is designed to make it impossible for you not to improve your offering. For eight intense weeks, ask yourself the right questions and answer them straightforwardly. Thank you, Pierre, and long live 34Elements!;The Compass
Guillaume Lainé;CEO,;Coach Rameur;6;Through the 34 Elements training, Pierre helped me structure my thinking and become strategic. I loved the intensity of the program and its structure. It was the service I needed to successfully complete my project. Many thanks, Pierre.;The Compass
Florence Rusconi;CEO,;Shopliv;6;If you're looking to seriously rethink your startup or if you're stuck, you've come to the right place! Solo founders or not, 34 elements adapt to everyone. Prepare to sweat, but not to cry, because Pierre is always kind, because he's always right. Like a surgeon, he will operate with you on your startup to help you take it to the next level. An experience not to be missed and an excellent investment!;The Compass
Omar Hassan;CEO;Fysali;6;"Pierre is the Guardiola of entrepreneurship. His foresight and strategic thinking allowed me to better understand the world of startups and investors, allowing me to save considerable time and refine our business strategy. Unlike many programs or so-called ""experts/mentors,"" Pierre has already experienced the highest level, and that is priceless.";The Compass
Caroline Mignaux;CEO;ReachMaker;7;34 elements helped us gain clarity on both our positioning and our product. In practice, Pierre knows how to find the right words to create the necessary clicks. It was also a wonderful collective experience! We will definitely be back.;The Compass
Sonia Bendif;CEO;Use my Feed;7;The 34 elements academy or one of the most beautiful opportunities of my career. Clearly before 34 elements I was not aware that my project without this knowledge, had no chance of reaching the level that I wanted. Regardless of the professional background, the training, certain information is transmitted from person to person and the strength of 34 elements is also that! Pierre is extraordinarily calm, direct, blunt but caring, always! He will not whisper the answers to you but he will give you all the keys to go and find them!! A journey that will not be forgotten! And a journey that continues with 35 elements... if I had to say a single word to Jean David.R who opened this door for me and to Pierre it would be THANK YOU!;The Compass
Laurent Guiraud;Co-founder;ColibrITD;7;When you create a startup, you embark on an adventure for which many tell you what not to do, the wrong directions, and that it will never work, especially in deeptech. Sometimes we forget the why and the vision. 34 Elements allowed us to rediscover and anchor the meaning of our adventure by presenting us in a clear and caring way the foundations of our entrepreneurial adventure.;The Compass
Jean-Luc Besset;CEO;Ever.li;7;34 Elements Academy is a great experience that I highly recommend to any tech entrepreneur who thinks big. You come out transformed (the product, the model, the vision, etc.), deconstructed and then rebuilt, while having asked yourself the right questions. An abrasive but essential filter before the big dive, a condensed version of high-intensity Silicon Valley, guaranteed without bullshit, with plenty of emulation and good humor inside. Thanks Pierre;The Compass
Victor Saison;CEO;Reov;7;We had the good idea (and the luck) to participate in Pierre's academy when we launched our start-up. He quickly helped us identify our most urgent problems and then co-construct actionable solutions immediately. He doesn't do things for us, better: he helps us think. 0 bullshit, only concrete things, a broad perspective, operational... in short: strategy! It's very valuable. Thank you Pierre;The Compass
Anis Moualdi;CEO;Skaly;7;"Stop scrolling through testimonials and pay for your academy right away! An entrepreneur takes risks when it comes to making their project a reality. Here's an investment that will do your project the greatest good without taking any risks. At least the slight doubt about the relevance of this academy will instantly fade after speaking with Pierre for just a few minutes. I don't understand the price of this training; it should be much more expensive. I don't understand how entrepreneurs can launch projects without asking themselves all these questions that Pierre addresses with great intelligence, both in terms of content and form. Not everyone is lucky enough to have a trusted advisor by their side, a VC on their board, a senior in their team, a strategy expert to help them make the right decisions. Pierre is all these people at the same time, and for 8 weeks, you will live in the shoes of a real business leader who makes decisions not blindly but with great lucidity and perspective. Never do this training if you are not ready to question your project, yourself, your ambition, your expertise and especially your offer. Pierre's support lasts 8 weeks but in reality it changes the life of an entrepreneur. Beyond that, Pierre pays a lot of attention to following his protégés well after the academy by giving of his time. Don't worry, you will continue to benefit from Pierre's enormous kindness while giving you a slap in the face of reality. I asked Pierre why he launched this academy when he didn't ""need"" it. He replied ""to give a chance to undertake to those whom life has forgotten."" If you have read this far, it is because you did not listen to my advice from the beginning, so listen to it now: go sign up for this gem that Pierre is offering you before he changes his mind!";The Compass
Anthony Graveline;CEO;DISAITEK;8;Participating in the program offered by Pierre through 34 elements was not only instructive but also very enjoyable. Pierre generously distills his rich and varied experience. Based on his analysis of his successes but also the mistakes he may have made during his many entrepreneurial experiences, he has drawn up a rich 10-point program that leads you to take a step back from your own intuitions and develop new approaches to streamline your development. Almost all of the topics covered have since been implemented for the good of society. Beyond the program and its richness, it is a chance to have Pierre to lead it. He is incredibly human, attentive, and a source of sound advice. It is also appreciable to see that the relationship is long-lasting, well beyond the initial program, and in a completely selfless manner with all the alumni who have passed through his academy. A big congratulations to him and his initiative in favor of entrepreneurs.;The Compass
Elisabeth Zambelis;CEO;Aima Health;8;When I met Pierre, I had just spent a year on the project. A year of 'good advice', negative and sometimes frankly inappropriate comments from people who have never been 'beaten in the arena' of entrepreneurship. Without saying that I had lost faith, I can say that I was tired. I no longer knew how to move the project forward. For several weeks, the Academy allowed me to rework the project in depth, to question everything and to structure elements that needed to be. It also gave me access to a part of the ecosystem that we rarely have the opportunity to meet: those who have succeeded. Being able to work with one of them is an opportunity not to be missed. Upon finishing the Academy, I realize the intelligence with which it was built, the work it allowed me to do on my position as an entrepreneur and what it allowed me to glimpse into the future of the project. Pierre, thank you for the Academy, the time, energy and knowledge that you put at the service of entrepreneurs.;The Compass
Johan Bocquet;CEO;Kotatio;8;I hadn't expected to experience and witness such high-quality exchanges and content so soon! The method is very effective. Pierre was a great help in structuring my startup. My best investment of the year!;The Compass
Nicolas Boivin;CEO;Neemo;8;"34 Elements, the support you absolutely must follow!
Thanks to Pierre, we have undergone a profound transformation in the way we approach Neemmo. The proposed methodology allows us to review each essential point in a pragmatic manner. His valuable advice and constructive criticism allowed us to thoroughly analyze our product, its market, its strengths and weaknesses, and to rethink our strategy. For example, the 34 Elements experience gave us a new perspective on how we design our product by reflecting on our core value. We are now more confident and aligned with our vision, ready to take on challenges and transform our product-market fit into a success. A big thank you to Pierre for his unwavering support!";The Compass
Alan Ghenassia;CEO;Vogz;9;"Taking this course was the most profitable investment I've made since launching my startup. A very well-oiled methodology that allowed me to complete the course alongside my project. Pierre is a genius; he transformed my vision of entrepreneurship. By choosing to invest in 34 Element, you are choosing to invest in yourself.";The Compass
Matthieu Nasri;CEO;Unfair;9;"I met many so-called ""experts"" in entrepreneurship. They all gave me advice, and Pierre gave me a method. I now have the means to answer all my questions and be confident in where I'm going. Not only am I moving forward faster, but I'm moving forward with much more peace of mind!";The Compass
Marcelo Dias de Amorin;CTO;Hopcast;10;"For those who like to fumble and dive into all sorts of new ideas, move on; there are plenty of other very expensive training courses for that. But if you want a clear methodology, examples, to be constantly challenged, and not waste time, don't hesitate.
For a long time, I was constantly on the lookout for ""experts"" who told me to do this or that without really explaining why... After the 34 Elements training, I realize I've wasted a lot of time with useless advice.
If you still have any doubts, listen to the interviews, podcasts, and other online resources with Pierre and his ""competitors."" I think any doubts will dissipate in 2 minutes :-)";The Compass
Kevin Smouts;Co-founder;Zygon;10;34Elements helps you avoid the pitfalls of opportunistic development. Pierre's method forces you to conduct a thorough strategic analysis of your business, positioning you in the segment where you need to be with the right message, in order to iterate more successfully.;The Compass
Florent Vaudelin;CEO;Trackstone;10;I am the co-founder of Trackstone, which is my third startup, and I can confirm that Pierre's Academy is very effective and provides a lot for an entrepreneur. Especially if this is your first entrepreneurial adventure. Pierre is incisive and impactful, and he will not leave you indifferent and will forever change your perspective on entrepreneurship. As far as I'm concerned, I can only recommend him.;The Compass
Anne Sophie Brossard;CEO;Social Bright Revolution;10;I was a project manager in IT, I had followed different coaching sessions, to dare to get started... and once that was done, well... I didn't really know how to organize myself, what to think, in what order to start... Even if I had clients, I was a little lost on how to continue. My project management side shows that I like structure and organization - I admit :-) I discovered Pierre's training via a podcast, and I was amazed by what he brought - he answered all the questions I could have! I signed up for the freemium to see, and there, what a surprise! It's clear, precise, we live it, we project ourselves. I was scared to death of not understanding anything, but the movement of the group, the kindness and the professionalism of Pierre pulled me up. Clearly, I am not the same today, my project has taken shape, made sense and I am very happy about it. It's often said that we are the result of the 5 people we spend the most time with. Here, I won the jackpot!;The Compass
Caroline Bisval;CEO;Décidées;10;"I don't know where you are in your entrepreneurial adventure...in this case, I'm rather early stage. I'll share my journey with you up to 34 elements. After 14 years of employment, I decided to take the plunge and I started by joining Station F. I met peers there and was able to attend tons of workshops (always want to learn!), including those at HEC with great speakers. The problem is that after 6 months, I realized that I was working my network, I was accumulating a ton of knowledge but in bulk without prioritization and I wasn't moving forward on my project. The reality is that people were looking more for incubation to have ""cheap"" offices in Paris than for the teaching itself...but I was looking for a mentor to move faster and progress, so I left. A few months later, during a lunch with a coach, I shared my desire to develop a more strategic vision of my company. He recommended Pierre to me, but I admit I'm a little fed up with video conferences and training of all kinds... I contacted two former alumni who confirmed the power of the program. I'm using the freemium program and I actually understand the relevance, scope, and importance of laying the right foundations for your business. It's not easy when you're starting out (without a big budget) to allocate time and money to progress, but it's the best decision I've made! The method works for all businesses. Each element is well explained by Pierre, and the 15 minutes with him in a 1-to-1 session are worth 1 hour of executive coaching. He understands your issues and advises you wisely. The 6-week duration is perfect, and plan time to work between each session. I recommend it with my eyes closed; I'd even say you should start there to save time later.";The Compass
Tim Guillois;CEO;Mindhunters;10;"The best investment I've ever made as an entrepreneur to help me make the right decisions and save time, rather than waste it.
I'm lucky enough to meet some very brilliant people in my field. I've also met many coaches and mentors of all kinds.
In my 20-year career, Pierre is probably the person who has helped me the most and influenced me in my entrepreneurial adventure.
With incredible clarity, no waffle, and even be prepared to be truly shaken up in a positive way. That's the deal with Pierre!
Go for it now, don't wait!";The Compass
Diane Lenne;CEO;WAP;11;Pierre has a way of thinking that makes leadership crystal clear. We've changed and built a much stronger value proposition as a result of the program, and the direction is much clearer. The alternating phases of one-on-one and group sessions force us to work on all strategic elements.;The Compass
Simon Kuster;CEO;Teed Up;11;"34 Elements is undoubtedly the best investment TeedUp has ever made. We restructured, found the ""Core Action"" for our app, and made a micro-pivot in the business model. In short, these are essential adjustments that now allow us to know exactly what to do to get TeedUp off the ground.";The Compass
Céline Mas;CEO;Love for Livres;11;34 Elements is an entrepreneurship school you won't find anywhere else. Its effectiveness can be summed up in three words: method, content, and Pierre, an entrepreneur who knows what he's talking about. His voice is unique, his contributions strategic and pragmatic, and his professionalism helps you ask the right questions and move forward with the right aim, no matter what. I recommend him without reservation.;The Compass
Nicolas Thomas;CEO;Inkan.link;12;"If starting a startup were a sport, Pierre would be considered a doping expert. The academy is there to really look at yourself in the mirror, you come out with clear ideas, no more ""just about"" zones. As an investor, I advise all entrepreneurs to do it, except my competitors. Marcelo Dias de Amorim CTO Hopcast";The Compass
Niels Rolland;CEO;Paatch;12;"We started with 34 elements after having a breakthrough with Cédric during the academy's free ""Purpose"" phase. There were then 3 other major breakthroughs (the founders, the core action, and the business model) that unblocked the situation Paatch was in to move on to the next stage. All founders should get stuck in! Thanks, Pierre.";The Compass
Léa Gatinois;CEO;Amble Wine;12;"Pierre's methodology is incredibly effective; it has allowed me to structure my startup in a remarkable way, and I have already seen a positive impact on my sales. His advice has been extremely valuable, prompting me to ask myself essential questions about my business and its environment. The digital platform and presentation materials are also very well designed. Overall, I highly recommend the experience to all entrepreneurs; this academy is a real opportunity to develop your startup. Thank you, Pierre!";The Compass
Fabrice De Oliveira;"Research and biomedical Engineer
";;12;Recently, I had the privilege of participating in an intensive program with 34 Elements and Pierre Gaubil. This transformative experience rigorously challenged and reshaped my mindset. The lessons I learned are invaluable for anyone embarking on the journey of building a business. From refining my company vision to developing a compelling value proposition, designing an effective go-to-market strategy, and mastering the art of analytics and measurement, every aspect of my thinking was recalibrated. Throughout this journey, I learned to think differently, to approach each stage of development with fresh perspectives. Today, I can confidently say that I am fully aligned with what I seek to achieve in my startup, in all its dimensions. Many thanks to Pierre Gaubil for his mentorship, his wisdom, and especially for aligning my project with his beliefs and experiences. I truly believe that my time at 34 Elements has added significant value to my startup journey, transforming my project into something far beyond what it was. Throughout my journey, I will be sure to stay in touch with Pierre, who has been a true mentor throughout this process. I thank him and look forward to what the future holds.;The Compass
Maxence Boddaert;CEO;NewLife;13;Efficient. Pierre has a very pragmatic approach. He's one of the few people who told us things straight. I highly recommend this month-long project, which was carried out prior to a fundraising campaign. Thanks to the team for the excellent organization.;The Compass
Hedi Marinier;CEO;InterFast;13;"Before I entered the tumultuous world of startups, I was overwhelmed by the abundance of information, conflicting advice, and a seemingly endless to-do list. It was in this confusion that I discovered ""34elements,"" the coaching offered by Pierre Gaubil. From the outset, Pierre helped us navigate the complex landscape of building a startup with clarity and confidence. His approach is structured, insightful, and deeply rooted in real-world experience of what actually works in the startup world. With ""34elements,"" we quickly identified the key elements we needed to focus on, eliminating unnecessary distractions and assumptions. What I particularly appreciated about Pierre was his ability to deconstruct past startup successes to extract essential lessons. This offered us a unique and valuable perspective, allowing us to understand the underlying mechanisms and strategies that lead to success. I can honestly say that 34elements has been a game changer for us. Instead of fumbling in the dark, we found a clear direction, supported by Pierre's wisdom and expertise. If you're considering launching a startup and want to avoid common pitfalls while maximizing your chances of success, I can't recommend 34elements' support enough. It's a wise investment in your future success. Thank you, Pierre, for your invaluable support and commitment to our vision. Thanks to you, we're well-equipped to do great things in the entrepreneurial world!";The Compass
Anthony Piquet;COO;Merci Prosper;14;"A caring but unfiltered pro who allows us to challenge the key success factors of our project, to ensure that there are no holes in the racket, to offer the opportunity to the ""founding"" team to be perfectly aligned and to benefit from the feedback of other start-ups... The idea is not to add layers to an existing project, nor to destroy everything that has been done, but to deconstruct without blindness, to rebuild methodically. In summary, you can go there with your eyes closed! But especially during the sessions, don't forget to open them, you will be amazed!!!";The Compass
Isadora Bigourdan;CEO;Itakh;14;Joining the Academy saves precious time. I can approach all aspects of my startup pragmatically and efficiently in record time. Pierre's feedback is invaluable. The Academy ultimately means benefiting from a top-quality advisor to refine or boost my startup. At the end of the program, we were able to completely pivot our project. Join the community to accelerate your deployment.;The Compass
Rudy Mroz;CEO;Etyope;14;34 elements is, in my opinion, the ideal bootcamp for a seed startup! In just a few weeks, between group sessions and individual sessions, I gained clarity at all levels, and obviously, the gain in execution quality is considerable! Beyond Pierre's experience as a seasoned entrepreneur, he very quickly leads you to ask yourself the essential questions about your market. 34 elements is a must-have in an entrepreneur's journey. I recommend it without moderation!;The Compass
Jamel Ghechoua;CEO;Yuwway;14;This program allowed us to deconstruct everything we have done so far to better rebuild by taking into account all of Pierre's experience and having more depth in our thinking and thus having a solid base to redefine our objectives, our positioning and our development strategy. With all this upstream work, which we will continue and continue to enrich, we are better equipped and prepared to start a road show serenely. Fabrice De OliveiraPhD, Research and biomedical Engineer;The Compass
Olivier Soudée;CEO;Haliro;15;We seized the opportunity of being in the early stages of our startup to enroll in the bootcamp. The goal was to refine certain aspects of our strategy. Pierre covers each topic comprehensively, from vision to execution, while challenging us on each one. The content is comparable to that of a business school bootcamp or offered by incubators or accelerators. However, the difference lies in Pierre's innovative methodology. Not only is it proven by his experience, but it also disrupts conventional approaches like TAM, SAM, and SOM, by offering a framework that promises to distinguish your startup in the market and compared to other startups.;The Compass
Christian Verdier;CEO;Karanext;15;Thank you so much for your academy. It was very helpful for us. Your method allowed us to conceptualize complex topics, allowing us to think intuitively instead. Personally, I've rarely learned so much in such a short time, and especially things we can use. I will definitely recommend you as much as I can.;The Compass
Denis Latreille;CEO;ZideeUp;15;"If you're a young startup, I recommend following the 34 Elements course, which takes place over one month. It's extremely well structured, with no bullshit, just concrete lessons to explore the essentials of the project: purpose, problem statement, unique value proposition, culture & team, market, go-to-market, user experience, etc. In short, it's a summary of what you need to know before hoping to ""succeed.""
I've been in business for four years and have attended quite a few sessions here and there, but this summary is a gem!";The Compass
Hubert Plessis;CTO;Piter;15;"""An encounter can change your life, your future, your vision...and Pierre is one of those encounters that inspires me because he speaks the truth, with precision and relevance. Far from storytellers who transcribe what they've read and understood, Pierre knows because he's lived it. He knows the way He challenges you with humility thanks to his experiences as a successful startupper at the very heart of Silicon Valley's powerhouse. Challenge your entrepreneurial project now with Pierre; don't wait until you're struggling or lost! His questions are powerful and effective... success often depends on a single detail and simplicity :-) May the force be with you”";The Compass
Julie Nguyễn;CEO;ArNuméral;16;"""After 18 months of the project, we had piles of data on the table, a bunch of hypotheses, and a lot of difficulty prioritizing it all to draw clear conclusions. In one month, Pierre helped us organize all these elements to build the real startup project we'd envisioned from the beginning, but were unable to put it into practice. This vision, with which we were perfectly aligned, allowed us to quickly plan our Go To Market, which yielded initial positive results even before the end of the Bootcamp. Whatever the stage of development of your project, Pierre's method will help you take stock, shed light on the gray areas of your thinking, and tie everything together into a coherent vision. My only regret at the end of this Bootcamp: not having met Pierre and his 34 Elements method earlier. It would have saved us time and spared us many of the disappointments we experienced at our previous startup with pseudo-support programs. Pierre generously shares his knowledge and experience, and this is a real opportunity for the French startup ecosystem. It's up to you to seize this opportunity by quickly reserving a place in the next Bootcamp! :-)”";The Compass
Cédric Leblanc;CEO;L’atout;16;If you want to gain 2 years on your business, don't hesitate to invest 45 minutes a day for 30 days with Pierre and go follow his Bootcamp. You're not immune to having 2 or 3 revelations that will change your vision.;The Compass
